id,source_id,publisher_id,period_id,score,data,schema,summary,run_id,timestamp,report
c5ee6736302948c7aecb226259bb981d,f34fd6eb-3f8c-4d06-9ffa-5644ce787b59,gb_cabinet-office,2012-10-01,10,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/136100/October_2012__25k_Transparency_Data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
986da609356e47f79f43fd1e431818d9,202d4ade-5ee4-4ea2-a29d-bbf86cc9f8a0,gb_cabinet-office,2012-11-01,9,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/136101/November_2012__25k_Transparency_Data.csv ,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
d680b2fb817f41fda53f6389119ebba0,6a131dde-78b4-4411-9659-1ddf06be1b5a,gb_cabinet-office,2012-12-01,7,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/211025/December_2012_Transparency_Data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
f56722f52f24433baf7fa41260407710,c4f7a880-92c3-47df-94ae-2a3f41bffdd3,gb_cabinet-office,2013-01-01,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/136103/January_2013__25k_Transparency_Data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
a9e9d929694c4e16b5ea19a366ea3ffb,eed9cb47-80fc-479b-83b5-68bb97e16871,gb_cabinet-office,2013-02-01,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/198067/February_2013__25k_transparency_data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
0668ce99488642bd82207d972b86bcd0,fec3fb55-d04e-4230-b168-b178e24ca5ed,gb_cabinet-office,2013-03-01,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/198518/March_2013__25k_transparency_data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
bbfe45199e8543af887583b3510c58c4,29d0dece-af39-4b89-8862-a42c859c2715,gb_cabinet-office,2013-04-01,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/210983/April-2013-25k-Transparency-Data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
1e66d8998cf74ed48c22ee6b1c0a4e4c,ff2a824a-122b-43b1-b278-5ac39503938c,gb_cabinet-office,2013-05-01,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/210984/May-2013-25k-Transparency-Data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
5d6de777c4e34c53aa49497a96d16121,a14a6c45-a2fc-40ae-a9cb-55aae8a8c1d7,gb_cabinet-office,2013-06-01,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/226005/June_2013__25k_Transparency_Data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
9dbc62eec9e54465a994e38f84885c29,58547c09-653f-4abd-8c45-f966c932a6ab,gb_cabinet-office,2013-07-01,0,https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/252892/July_2013__25k_Transparency_Data.csv,,,440fde46a1a3413c947f8812d4b55384,2015-04-19T13:17:51.772079+00:00,http://goodtables.okfnlabs.org
